City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
114,Geraldton,AU,71.6,broken clouds,-28.77,114.6,Broadwater Mariner Resort
116,San Quintin,MX,66.27,clear sky,30.48,-115.95,Old Mill Hotel
117,Kaitangata,NZ,54.0,broken clouds,-46.28,169.85,Kaitangata Motor Camp
119,Sao Joao Da Barra,BR,65.44,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
120,Najran,SA,55.4,clear sky,17.49,44.13,محمد هادي ال فطيح
121,Husavik,IS,39.2,few clouds,66.04,-17.34,Bjarnabúð
122,Norden,DE,64.4,broken clouds,53.6,7.2,Hotel Aquarius
125,Matucana,PE,58.82,scattered clouds,-11.85,-76.4,Hostal La Fontana
129,Chuy,UY,51.08,few clouds,-33.7,-53.46,Nuevo Hotel Plaza
130,Olesnica,PL,55.99,overcast clouds,51.21,17.39,Perła
131,Rabo De Peixe,PT,62.6,few clouds,37.8,-25.58,Quinta das Giestas
132,Shunyi,CN,55.99,clear sky,40.12,116.65,Beijing Mingchen Holiday Hotel
133,Dingzhou,CN,59.0,clear sky,38.51,115.0,宜家时尚宾馆
134,Mar Del Plata,AR,57.99,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
136,Namibe,AO,69.08,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
137,Porosozero,RU,30.76,overcast clouds,62.72,32.73,Porosozero
139,Caravelas,BR,71.13,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
142,Eyrarbakki,IS,35.6,overcast clouds,63.86,-21.15,Guesthouse 77
143,Vostok,RU,32.86,broken clouds,46.49,135.88,
144,Nicoya,CR,72.88,overcast clouds,10.15,-85.45,Guayacan Real
145,Roald,NO,53.6,light rain,62.58,6.13,Flem Cabins
146,Pevek,RU,14.94,light snow,69.7,170.31,Severnoye Zoloto
147,Aripuana,BR,69.98,overcast clouds,-9.17,-60.63,
148,Unai,BR,69.06,overcast clouds,-16.36,-46.91,Hotel Regente
149,San Rafael,AR,65.95,scattered clouds,-34.62,-68.33,Hotel San Rafael
150,Betsiamites,CA,46.4,overcast clouds,48.94,-68.65,
153,Xiongyue,CN,46.98,light rain,40.18,122.12,Samsung Business Hotel
155,Nkowakowa,ZA,50.0,few clouds,-23.89,30.29,Moytel 966A Guest House & Spa
158,Sovetskiy,RU,28.09,broken clouds,61.36,63.58,Apartment on Kievskaya 29
161,Gillette,US,50.0,clear sky,44.29,-105.5,National 9 Inn - Gillette WY
162,Ilinden,MK,37.4,clear sky,42.0,21.58,Le Village
163,Nelson Bay,AU,71.6,broken clouds,-32.72,152.15,Mantra Nelson Bay
164,Cape Town,ZA,63.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
167,San Patricio,US,66.2,clear sky,28.02,-97.52,"Motel 6 Sinton, TX"
168,Nanding,CN,62.01,clear sky,36.75,118.06,锦江之星淄博火车站店
169,Alamor,EC,55.96,broken clouds,-4.02,-80.02,Hotel
171,Fortuna,US,48.2,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
172,Laguna,US,57.99,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
173,Jamestown,US,35.01,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
174,Dolores,AR,49.64,scattered clouds,-36.31,-57.68,Apart Hotel - Arianos
175,Hasaki,JP,72.0,shower rain,35.73,140.83,Inubosaki Kanko Hotel
178,Avera,US,55.4,clear sky,33.19,-82.53,
179,Port Elizabeth,ZA,62.6,few clouds,-33.92,25.57,39 On Nile Guest House
182,Grindavik,IS,35.6,broken clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
185,Lebu,CL,51.91,overcast clouds,-37.62,-73.65,Hostal Las Lilas
186,Yola,NG,74.8,overcast clouds,9.2,12.48,Muna Hotel
189,Aswan,EG,70.43,clear sky,24.09,32.91,Nuba Nile
190,Rudbar,AF,70.79,clear sky,30.15,62.6,
191,Kodiak,US,28.4,overcast clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
192,Pyaozerskiy,RU,37.92,overcast clouds,65.83,31.17,
193,Constitucion,CL,51.46,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
196,Saint Anthony,US,28.99,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
198,Mahon,ES,62.6,clear sky,39.89,4.27,ARTIEM Capri
200,Yuxia,CN,64.4,clear sky,34.06,108.63,Xinhua Hostel
202,Huaihua,CN,58.98,overcast clouds,27.55,109.96,怀化天庆大酒店
205,Bani Walid,LY,56.43,clear sky,31.76,13.99,منزل الصابر أبوفانة
206,Moyale,KE,69.39,scattered clouds,3.52,39.06,WOCHES PALACE
207,Preobrazheniye,RU,46.71,clear sky,42.9,133.91,Campsite Orlan
208,Skuratovskiy,RU,41.83,overcast clouds,54.11,37.6,Day&Night Hostel
209,Ust-Kishert,RU,29.34,clear sky,57.37,57.25,
210,Leshukonskoye,RU,31.51,overcast clouds,64.9,45.76,Gostinitsa Mup Zhkkh
211,Bati,ET,67.51,clear sky,11.18,40.02,Adi 01 Kebele
213,Pisco,PE,64.4,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
214,Alaca,TR,40.17,clear sky,40.17,34.84,Alaca Öğretmen Evi
217,Longyearbyen,SJ,28.02,broken clouds,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
218,Longavi,CL,51.91,clear sky,-35.97,-71.68,
221,Broome,US,30.99,broken clouds,42.25,-75.83,Chenango Valley State Park
222,Aquidauana,BR,69.89,clear sky,-20.47,-55.79,HOTEL ARARAS
223,Ponta Do Sol,PT,66.2,scattered clouds,32.67,-17.1,Hotel do Campo
229,Alamo,MX,65.77,clear sky,20.92,-97.68,Hotel Alamo
230,Kaniama,CD,67.28,broken clouds,-7.57,24.18,
231,Poddorye,RU,36.39,scattered clouds,57.47,31.12,
232,Tunceli,TR,62.6,broken clouds,39.11,39.55,Grand Hotel Şaroğlu
234,Calvia,ES,57.99,clear sky,39.57,2.51,Castell Son Claret
235,Mahebourg,MU,73.4,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
236,Half Moon Bay,US,63.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
241,Ketchikan,US,51.8,heavy intensity rain,55.34,-131.65,Snows Cove Lodge
243,Nemuro,JP,59.0,moderate rain,43.32,145.57,Hotel Nemuro Kaiyoutei
244,Toppenish,US,42.01,clear sky,46.38,-120.31,Quality Inn & Suites Toppenish - Yakima Valley
245,Lavrentiya,RU,21.15,few clouds,65.58,-171.0,
247,San Cristobal,VE,66.25,light rain,7.77,-72.22,Pirineos
249,Beringovskiy,RU,23.92,broken clouds,63.05,179.32,Beringgorski
250,Matsumoto,JP,59.0,light intensity shower rain,36.23,137.97,Matsumoto Hotel Kagetsu
251,Port-Cartier,CA,39.2,overcast clouds,50.03,-66.87,Le Q'Artier
253,Ust-Ishim,RU,31.51,overcast clouds,57.69,71.17,"Velichko T.p., Gostinitsa"
255,Zeya,RU,20.59,overcast clouds,53.75,127.27,Kapital Inn
256,Puerto Leguizamo,CO,71.31,broken clouds,-0.19,-74.78,la casona de juancho
257,Bodrum,TR,60.8,few clouds,37.04,27.43,The Marmara Bodrum
258,Herre,NO,57.0,light rain,59.1,9.57,Admini Porsgrunn
259,Sechura,PE,62.19,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
260,Weinan,CN,64.4,clear sky,34.5,109.51,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
261,Ust-Ilimsk,RU,23.11,light snow,58.0,102.66,Alenat Tsentr
262,Sitka,US,57.2,heavy intensity rain,57.05,-135.33,Westmark Sitka
263,El Alto,PE,60.26,overcast clouds,-4.27,-81.21,Black Marlin Lodge & Restaurant
264,Coria,ES,57.0,overcast clouds,39.99,-6.54,Hotel San Cristóbal
265,Swan River,CA,42.8,broken clouds,52.11,-101.27,Super 8 by Wyndham Swan River MB
266,Edremit,TR,48.2,clear sky,39.6,27.02,Entur Termal Otel
270,Matay,EG,63.79,clear sky,28.42,30.78,Nag Aespen
271,Gemena,CD,70.5,overcast clouds,3.25,19.77,Hôtel Goshen
272,Sarakhs,IR,62.6,clear sky,36.54,61.16,Sarakhs Abrisham Hotel
273,Korla,CN,51.26,clear sky,41.76,86.15,Gulisitan Hotel
275,Tuktoyaktuk,CA,12.2,light snow,69.45,-133.04,End of The Road Ltd.
276,Havre,FR,62.6,overcast clouds,49.58,0.33,gite bois jourdain
277,Selikhino,RU,39.2,few clouds,50.37,137.5,Nochleg Ustalogo Putnika
278,Katsuura,JP,72.0,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
