City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Gorontalo,ID,0.54,123.06,89.33,52,100,7.05,overcast clouds
288,Saskylakh,RU,71.92,114.08,-8.59,89,66,9.48,broken clouds
289,Ascension,US,30.22,-90.9,60.8,41,1,11.41,clear sky
290,Svobodnyy,RU,51.4,128.13,25.59,96,100,17.76,overcast clouds
291,Kutoarjo,ID,-7.72,109.91,75.99,66,100,7.4,light rain
292,Kabo,CF,7.7,18.63,72.9,84,100,1.48,overcast clouds
293,Emerald,AU,-23.53,148.17,93.2,16,0,11.41,clear sky
294,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,71.85,94,57,2.62,broken clouds
295,Burnie,AU,-41.07,145.92,62.01,61,55,10.0,broken clouds
296,Ngunguru,NZ,-35.62,174.5,71.01,80,100,8.99,overcast clouds
297,Jalu,LY,29.03,21.55,60.73,73,1,6.69,clear sky
298,Kawhia,NZ,-38.07,174.82,65.95,66,100,1.43,overcast clouds
299,Assiniboia,CA,49.63,-105.98,39.2,60,10,11.41,clear sky
300,Sungaipenuh,ID,-2.08,101.38,76.01,76,99,4.56,moderate rain
301,Kununurra,AU,-15.77,128.73,100.4,27,48,5.82,scattered clouds
302,Honningsvag,NO,70.98,25.97,41.0,80,0,39.15,clear sky
303,Thaton,MM,16.92,97.37,87.75,66,0,1.48,clear sky
304,Viedma,AR,-40.81,-63.0,60.01,60,0,12.5,clear sky
305,Springbok,ZA,-29.66,17.89,69.28,24,0,9.22,clear sky
306,Westport,US,41.14,-73.36,44.01,82,83,1.01,broken clouds
307,Kudahuvadhoo,MV,2.67,72.89,83.05,71,26,8.16,scattered clouds
308,Sinnamary,GF,5.38,-52.95,79.68,83,97,7.43,light rain
309,Moerai,PF,-22.43,-151.33,76.44,84,100,13.27,overcast clouds
310,Urumqi,CN,43.8,87.6,44.6,42,0,2.24,clear sky
311,Severo-Kurilsk,RU,50.68,156.12,42.78,78,43,13.4,scattered clouds
312,Okhotsk,RU,59.38,143.3,23.65,89,98,21.7,overcast clouds
313,Teguise,ES,29.06,-13.56,68.0,88,0,14.99,clear sky
314,Altay,CN,47.87,88.12,43.0,51,67,1.68,broken clouds
315,Hobyo,SO,5.35,48.53,81.45,72,2,8.32,light rain
316,Ibanda,TZ,-2.8,32.47,69.8,88,40,5.82,scattered clouds
317,Nagato,JP,34.38,131.2,60.8,93,75,1.12,light intensity shower rain
318,Pak Phanang,TH,8.35,100.2,87.8,74,20,5.82,few clouds
319,Saint-Pierre,RE,-21.34,55.48,75.2,47,90,5.82,overcast clouds
320,Izumo,JP,35.37,132.77,60.8,93,75,5.82,mist
321,Mayor Pablo Lagerenza,PY,-19.93,-60.77,67.69,41,0,3.29,clear sky
322,Deputatskiy,RU,69.3,139.9,-15.56,88,16,5.57,few clouds
323,Luderitz,NA,-26.65,15.16,59.67,78,82,3.62,broken clouds
324,Tura,IN,25.52,90.22,81.64,70,85,2.35,overcast clouds
325,Goderich,CA,43.75,-81.72,33.8,80,100,31.09,overcast clouds
326,Saint-Denis,FR,48.92,2.33,64.99,77,75,17.22,broken clouds
327,Sioux Lookout,CA,50.1,-91.92,28.4,58,90,10.29,overcast clouds
